,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10
946,7.0,1275.5,3.0,136000.0,2.0,11.0,5.0,113.0,4.0,151304.0
392,7.0,1304.0,3.0,63000.0,2.0,11.0,5.0,110.0,4.0,60095.0
510,7.0,1296.5,1.0,76000.0,2.0,11.0,10.0,113.0,4.0,72001.0
875,5.0,1250.0,3.0,78000.0,2.0,15.0,5.0,82.0,5.0,350092.0
420,7.0,1257.5,3.0,95000.0,1.0,11.0,4.0,111.0,4.0,450015.0
448,4.0,1313.0,3.0,328000.0,2.0,8.0,5.0,90.0,5.0,151300.0
1103,7.0,1268.0,3.0,107000.0,2.0,11.0,4.0,105.0,5.0,60091.0
1047,4.0,1284.1808176100628,2.0,65000.0,2.0,8.0,5.0,112.0,4.0,60015.0
424,4.0,1244.0,3.0,97000.0,2.0,8.0,5.0,99.0,5.0,60091.0
486,4.0,1163.0,3.0,42000.0,2.0,8.0,10.0,113.0,4.0,151300.0
981,7.0,1335.5,3.0,546000.0,2.0,11.0,3.0,80.0,5.0,330008.0
984,7.0,1250.0,1.0,121000.0,2.0,11.0,-1.0,112.0,4.0,350091.0
258,7.0,1326.5,1.0,91000.0,1.0,11.0,9.0,106.0,4.0,450080.0
335,4.0,1284.1808176100628,2.0,90000.0,2.0,8.0,5.0,111.0,4.0,72001.0
1076,7.0,1248.5,3.0,146000.0,2.0,11.0,10.0,105.0,5.0,350704.0
421,7.0,1302.5,1.0,105000.0,2.0,11.0,5.0,95.0,3.0,60000.0
585,4.0,1284.1808176100628,2.0,49000.0,1.0,8.0,2.0,114.0,4.0,71000.0
248,4.0,1298.0,1.0,165000.0,2.0,8.0,9.0,90.0,3.0,72000.0
133,5.0,1268.0,3.0,91000.0,2.0,15.0,5.0,112.0,4.0,71008.0
324,7.0,1233.5,3.0,59000.0,2.0,11.0,5.0,91.0,3.0,450052.0
1004,5.0,1292.0,3.0,172000.0,2.0,15.0,8.0,113.0,5.0,350092.0
410,7.0,1289.0,3.0,130000.0,2.0,11.0,9.0,84.0,3.0,60019.0
707,4.0,1241.0,3.0,35000.0,2.0,8.0,5.0,99.0,5.0,60084.0
562,7.0,1274.0,1.0,240000.0,2.0,11.0,-1.0,104.0,5.0,350100.0
96,4.0,1257.5,1.0,91000.0,2.0,8.0,5.0,90.0,3.0,72000.0
390,4.0,1265.0,1.0,120000.0,2.0,8.0,5.0,105.0,3.0,71000.0
611,4.0,1269.5,1.0,210000.0,2.0,8.0,-1.0,84.0,3.0,330012.0
66,5.0,1206.5,3.0,49000.0,2.0,15.0,2.0,102.0,4.0,551201.0
51,7.0,1187.0,3.0,90000.0,2.0,11.0,5.0,100.0,5.0,60093.0
58,7.0,1235.0,3.0,101000.0,2.0,11.0,5.0,112.0,3.0,60013.0
555,5.0,1230.5,3.0,72000.0,2.0,15.0,9.0,113.0,4.0,151304.0
54,5.0,1205.0,3.0,61000.0,2.0,15.0,5.0,76.0,5.0,60069.0
299,7.0,1170.5,3.0,71000.0,2.0,11.0,5.0,111.0,4.0,151307.0
871,5.0,1269.5,1.0,114000.0,2.0,15.0,5.0,83.0,3.0,450058.0
581,4.0,1305.5,3.0,65000.0,2.0,8.0,9.0,80.0,5.0,60041.0
1,7.0,1298.0,1.0,110000.0,2.0,11.0,-1.0,101.0,5.0,72001.0
721,5.0,1308.5,3.0,131000.0,1.0,15.0,5.0,110.0,5.0,72000.0
