ID,Paved Drive,BsmtExposure,BsmtUnfinishedArea,ProximityToMainRoad2,KitchenQuality,SaleCondition,LivingArea,Lot Config,FenceQuality,SaleType,HalfBaths,Neighborhood,HeatingQuality,LotFrontage,RoofMaterial,Exterior1,Foundation,HouseType,YearRemodelled,MasVnrArea,Misc Feature,GarageFinish,ExteriorQual,UtilitiesAvailable,HouseStyle,MasVnrType,FireplaceQuality,EnclosedPorchArea,BsmtCondition,PoolSize,BsmtHeight,BsmtFullBaths,ScreenPorchArea,Misc,BsmtFinishType2,TotalRooms,YearBuilt,YearSold,BsmtFinish2Area,PoolQuality,OpenPorchArea,Fireplaces,RoofType,Functional,ExteriorCond,GarageCondition,TotalBsmtArea,Electrical,SeasonPorchArea,LowQualityFinishArea,ProximityToMainRoad,BsmtHalfBaths,GarageQuality,WoodDeckArea,ZoningClass,Bedrooms,TypeOfAlleyAccess,FullBaths,OverallRating,BsmtFinishType1,TypeOfRoadAccess,MonthSold,GarageCars,Shape,Flatness,HeatingType,Central Air,SlopeOfProperty,Exterior2,GarageArea,BsmtFinish1Area,Quality,GarageType,LotSize,Kitchens,GarageYearBuilt,BuildingClass,2ndFloorArea,1stFloorArea,SalePrice
0,N,,0,Norm,TA,Normal,845,CulDSac,,WD,0,Edwards,Ex,,CompShg,Wd Sdng,Slab,1Fam,1957,0.0,,Unf,TA,AllPub,1Story,None,,0,,0,,0,0,0,,5,1957,2009,0,,0,0,Gable,Typ,Gd,TA,0,SBrkr,0,0,Norm,0,TA,186,RL,3,,1,3,,Pave,1,1.0,IR1,Lvl,GasA,N,Gtl,Wd Sdng,290.0,0,4,Detchd,11500,1,1957.0,20,0,1889,110720.0
1,Y,No,928,Norm,TA,Normal,1329,Inside,,WD,1,NAmes,Gd,,CompShg,Plywood,CBlock,1Fam,1960,128.0,,Unf,TA,AllPub,1Story,BrkFace,Gd,203,TA,0,TA,0,0,0,Unf,5,1960,2009,0,,0,2,Gable,Typ,TA,TA,1536,SBrkr,0,0,Norm,0,TA,0,RL,3,,1,6,BLQ,Pave,8,2.0,IR1,Lvl,GasA,Y,Gtl,Plywood,441.0,608,7,Attchd,12285,1,1960.0,20,252,2373,212091.0
2,Y,No,2174,Norm,TA,Normal,1967,Inside,,WD,0,Sawyer,TA,,CompShg,Plywood,CBlock,Duplex,1977,0.0,,Fin,TA,AllPub,1Story,None,,0,TA,0,Gd,0,0,0,Unf,10,1977,2006,0,,0,0,Gable,Typ,TA,TA,2174,SBrkr,0,0,Norm,0,TA,170,RL,6,,2,4,Unf,Pave,8,2.0,IR1,Lvl,GasA,Y,Gtl,Plywood,580.0,0,5,Attchd,9662,2,1977.0,90,252,3011,190563.0
3,Y,Gd,1701,Norm,Gd,Normal,1614,Inside,,WD,0,CollgCr,Ex,78.0,CompShg,VinylSd,PConc,1Fam,2005,140.0,,Fin,Gd,AllPub,1Story,BrkFace,Gd,0,TA,0,Gd,0,0,0,Unf,7,2005,2006,0,,45,1,Gable,Typ,TA,TA,1821,SBrkr,0,0,Norm,0,TA,100,RL,3,,2,5,GLQ,Pave,3,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,576.0,120,7,Attchd,9316,1,2005.0,20,252,2658,265887.0
4,Y,No,778,Norm,TA,Normal,1904,Inside,GdPrv,WD,1,NAmes,Gd,60.0,CompShg,VinylSd,CBlock,1Fam,1982,0.0,,Unf,TA,AllPub,1.5Fin,None,,168,TA,0,TA,1,0,0,BLQ,7,1950,2009,393,,0,0,Gable,Min1,TA,TA,1415,FuseA,0,0,Norm,0,TA,0,RL,3,,1,4,Rec,Pave,5,1.0,Reg,Lvl,GasA,Y,Gtl,Wd Sdng,240.0,244,5,Attchd,7200,1,1950.0,50,1020,2180,170146.0
5,Y,Mn,1901,Norm,Gd,Partial,1694,Inside,,New,0,NridgHt,Ex,91.0,CompShg,CemntBd,PConc,1Fam,2007,302.0,,RFn,Gd,AllPub,1Story,Stone,Gd,0,TA,0,Ex,0,0,0,Unf,7,2006,2007,0,,112,1,Gable,Typ,TA,TA,1901,SBrkr,0,0,Norm,0,TA,0,RL,3,,2,5,Unf,Pave,6,3.0,Reg,Lvl,GasA,Y,Gtl,CmentBd,856.0,0,8,Attchd,11825,1,2006.0,20,252,2738,372932.0
6,Y,No,488,Norm,TA,Normal,1400,CulDSac,,WD,1,SawyerW,TA,,CompShg,VinylSd,CBlock,1Fam,1986,141.0,,RFn,TA,AllPub,2Story,BrkFace,,0,TA,0,Gd,0,0,0,Unf,6,1986,2009,0,,48,0,Gable,Typ,Gd,TA,883,SBrkr,0,0,Norm,0,TA,0,RL,3,,2,7,Rec,Pave,7,2.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,465.0,395,6,Attchd,10274,1,1986.0,60,954,1742,196625.0
7,Y,No,419,Norm,TA,Normal,1229,Inside,GdPrv,WD,1,Blueste,TA,24.0,CompShg,MetalSd,CBlock,TwnhsE,1980,0.0,,Fin,TA,AllPub,2Story,None,TA,0,TA,0,Gd,0,0,0,Unf,5,1980,2009,0,,0,1,Gable,Typ,TA,TA,768,SBrkr,0,0,Norm,0,TA,150,RM,2,,1,6,ALQ,Pave,5,2.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,462.0,349,6,Attchd,1300,1,1980.0,160,920,1605,154716.0
8,Y,No,967,Norm,Gd,Normal,2168,Inside,,WD,0,IDOTRR,Ex,50.0,CompShg,AsbShng,BrkTil,1Fam,1993,0.0,,Unf,TA,AllPub,2Story,None,,78,TA,0,TA,0,0,0,Unf,11,1900,2009,0,,160,0,Gambrel,Typ,TA,TA,967,SBrkr,0,312,Norm,0,TA,467,RM,5,,2,6,Unf,Pave,12,2.0,Reg,Bnk,GasA,N,Gtl,AsbShng,576.0,0,5,Detchd,8660,1,1998.0,70,1180,1972,153568.0
9,Y,No,1336,Norm,Gd,Normal,2327,CulDSac,,WD,1,CollgCr,Ex,41.0,CompShg,VinylSd,PConc,1Fam,2003,0.0,,RFn,Gd,AllPub,2Story,None,Gd,0,TA,0,Gd,0,0,0,Unf,9,2003,2008,0,,57,1,Gable,Typ,TA,TA,1336,SBrkr,0,0,Norm,0,TA,0,RL,4,,2,5,Unf,Pave,8,2.0,IR2,Lvl,GasA,Y,Gtl,VinylSd,596.0,0,7,BuiltIn,10905,1,2003.0,60,1450,2173,282433.0
