Date,CPIAUCSL,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222s,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,AMDMNOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,S&P: indust,FEDFUNDS,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,OILPRICEx,PPICMM,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,DTCOLNVHFNM,DTCTHFNM,INVEST,D12,E12,b/m,lty,ntis,ltr,svar,excess_returns
1959-03-01,-0.00069025,0.006430111,0.007359341,0.00941009,-0.003422929,0.008321199,0.014302533,0.006036092,0.004899273,0.0,0.019396966,-0.004745075,0.010744208,0.025638612,0.038644148,0.014912276,0.015524263,0.006802389,0.024999499,1.0341,103.0,0.042561243,0.006174633,0.009112927,-0.3,-0.2,-0.063080982,-0.06293614,-0.053893217,-0.027908788,-0.073687716,-0.083286961,0.006168304,0.009431298,-0.000142015,0.01101296,0.009481865,0.014154359,0.002863964,0.004339939,0.005256133,0.003488511,0.009303769,0.004123717,0.001969474,40.0,0.2,40.4,7.390181428,5.799092654,6.023447593,6.22059017,5.924255797,0.02216609,0.024973264,0.005133189,-0.010331125,-0.001443481,0.001369465,0.006229924,0.011948301,0.005189425,-0.016574586,-0.0027517,-0.004383406,-0.001294278,0.000357825,0.024721882,0.37,0.1,0.0,0.07,0.03,0.03,-0.01,-0.04,0.0,0.33,0.81,1.19,1.19,1.33,2.05,0.002200068,0.0,0.001209534,-0.005142457,-0.003016594,-0.002998503,-0.003262646,0.009528881,-0.010050336,0.012232568,0.002234638,0.003372529,-2.23e-05,-0.003007521,0.005235614,-0.004357305,0.0,0.0,0.0,-0.000249784,0.000666296,-0.001124066,0.000261803,-2.18e-05,-0.008146651,0.004818829,0.004929154,0.004138441,-0.014792359,1.77,3.11,0.5168602815309701,0.0403,0.024984389586117116,0.0017,0.000491508124,0.0011519999999999998
1959-04-01,0.001380143,0.006494121,0.007048639,-0.003639469,0.019922104,0.000615712,0.021077409,0.014338028,0.014542339,0.015653375,0.006379474,0.016511466,0.025790239,0.027244046,0.029658204,0.030501353,0.021100685,0.00405435,-0.004499124,1.5153,65.0,0.044026278,0.003973408,0.007765374,-0.4,-0.4,0.023705817,-0.15720505,-0.152361647,-0.261609832,-0.074786936,-0.055002526,0.00577422,0.010433607,0.001561059,0.023615397,0.008223516,0.012415634,0.00222187,0.0031472,0.002938748,0.004825053,-0.006687011,0.003696862,0.001228954,40.2,0.1,40.5,7.371489295,5.616771098,5.96870756,6.284134161,5.96100534,0.010990101,0.016413723,0.013336545,0.0,-0.002149768,-0.002093019,0.002700947,0.010026126,0.026983775,0.011235955,0.014651216,0.004206743,-0.00085667,6.72e-05,0.018723105,0.16,0.15,0.14,0.11,0.13,0.13,0.1,0.01,-0.01,0.31,0.76,1.16,1.16,1.27,1.9,-4.63e-05,0.0,0.001350103,-0.006413594,0.0,0.005997006,0.0,0.003149482,0.010050336,-0.018330148,0.002234638,-0.003407003,-0.004705891,0.003007521,-0.005235614,0.004338402,0.003454235,0.0,0.0,0.001304731,-0.000229275,0.001348994,0.001752366,-2.16e-05,0.012203451,-0.004889528,0.012134027,0.006734296,0.024929243,1.77667,3.20667,0.49859719438877753,0.0414,0.024360569619933985,-0.0117,0.0004925502089999999,0.038054
1959-05-01,0.001723128,0.005763112,0.006616463,0.012005354,0.006797312,0.007803395,0.01495024,0.008269202,0.009583038,0.004768488,0.020151168,0.0,0.031893416,0.025432719,0.034046237,0.008941828,0.013828222,0.014735063,-0.019350373,0.9237,66.0,0.030738014,-0.002358682,-0.001065909,-0.1,-0.2,-0.010090903,0.073266382,-0.07388589,-0.045120435,-0.092935822,0.002184996,0.004285547,0.005640815,0.00678352,0.000648088,0.006607954,0.009102437,0.003007521,0.003517827,0.004026728,0.00403513,0.011224166,0.003274665,0.001350108,40.3,0.0,40.7,7.311886164,5.560681631,5.872117789,6.188264123,5.981414211,-0.043037512,-0.003042673,0.005709503,-0.010331126,0.007132698,0.004105607,0.005181359,-0.008016075,-0.021534802,-0.011111111,0.00872493,-0.000589498,0.001647346,0.000567432,0.019023417,-0.06,-0.11,0.06,0.24,0.23,0.19,0.14,0.1,-0.06,0.43,1.06,1.45,1.41,1.47,2.06,4.63e-05,0.0,-0.000710353,-0.000622859,0.003007521,-0.005997006,0.006493529,-0.01265827,0.0,0.01219516,-4.98e-06,-0.003372684,0.004683849,0.003007521,0.002607563,-1.87e-05,-1.19e-05,0.0,0.0,-0.001430705,0.000646313,-0.001686534,-0.001936728,-2.14e-05,-0.004089717,-0.004819286,0.0028283,0.002020399,-0.01534223,1.78333,3.30333,0.48307677969524226,0.0417,0.02588723385922234,-0.0005,0.00042780091399999997,0.021431
1959-06-01,0.000339315,0.003102436,0.00297379,0.003708286,-5.15e-05,0.009064341,0.001144385,0.007034448,0.007126417,-0.004768488,0.007451951,-0.007043724,0.023272538,-0.00657523,-0.007349862,-0.003002197,0.001141909,0.005308378,0.0,-0.1473,62.0,0.025017665,0.001465674,0.002315745,-0.1,0.2,0.028659076,-0.042689409,-0.00207469,0.062131781,-0.048094754,0.044765099,0.002443325,0.004325444,0.007017573,0.004202366,0.004316878,0.005335088,0.002840911,0.00137445,0.001733814,0.002834057,0.002105437,0.002856562,-0.001227295,40.2,0.0,40.6,7.31521839,5.537334267,5.837730447,6.249975242,5.96100534,0.045692616,0.007620679,0.009996751,0.010331126,-0.003585337,-0.000731462,0.004066457,0.003984069,-2.89e-05,-0.016853933,0.001885236,-0.001819195,0.002296369,0.000899164,-0.00549097,0.49,0.37,0.19,0.11,0.15,0.03,0.09,0.08,-0.18,0.13,0.68,1.11,0.95,1.07,1.65,-0.002617469,0.0,-0.000710858,-0.004162337,-0.006015042,0.005997006,-0.006493529,-4.03e-05,0.0,-0.003062676,-4.96e-06,0.003361348,-2.18e-05,-0.003007521,-0.002607563,-0.004319661,-1.18e-05,0.003252035,0.003372684,0.002292627,0.000328946,0.003315797,0.002093404,-0.004618946,0.003991762,0.004796172,0.009726265,0.009006692,-0.012251828,1.79,3.4,0.483219390926041,0.0419,0.026882074447754298,0.001,0.000915070174,-0.003225
1959-07-01,-0.001034413,-0.00058921,-0.000763845,-0.003426873,0.012110069,-0.000330178,-0.024237967,0.001166935,0.008246923,0.013055959,0.019612838,0.008210734,0.002188967,-0.061174421,-0.105477729,0.004731892,-0.018456137,0.013139314,-0.023258132,-1.7888,6.0,-0.012350391,0.00381532,0.002494996,0.1,-0.6,0.04433749,0.083630799,-0.079956176,-0.051927611,-0.101717524,0.019137468,0.002288692,0.003436694,0.01430282,-0.004202366,0.004426347,0.00617052,0.001889467,0.00163518,0.000820232,0.000841011,0.000658183,0.002442004,0.003677376,39.9,-0.1,40.3,7.344072851,5.602118821,5.916202063,6.278521424,5.918893854,-0.079375125,-0.007999037,0.007706743,0.030993377,-1.25e-05,-0.002748099,0.002372715,0.005907208,0.01614364,0.011428571,-0.008698611,-0.001795376,8.51e-05,0.0014919,0.039376416,0.08,-0.01,0.3,0.32,0.08,0.06,0.01,0.04,-0.27,0.35,0.92,1.11,0.93,1.0,1.61,-0.000440779,0.0,-0.000284485,-0.001774253,-9.07e-06,-0.005997006,-0.003241494,-0.003261445,0.0,-0.012167387,-4.94e-06,-1.13e-05,-0.004662013,0.0,0.002600782,0.004301082,-0.003430535,-1.05e-05,-1.13e-05,-0.000749077,-0.00152071,-0.00123781,-0.000100347,0.0,-0.00404015,-0.004796172,-0.004630642,-0.000999545,0.029341279,1.79667,3.41,0.4608226647700332,0.0417,0.027141372074974416,0.006,0.00048779601599999997,0.032004
1959-08-01,-0.000344525,-0.005636561,-0.005747509,0.006003328,-0.052446136,0.006364206,-0.034465315,-0.007026215,-0.002347504,0.001178774,-0.028313048,0.011616066,-0.008784765,-0.078973157,-0.128528067,-0.003693639,-0.040384633,0.006505479,0.016338196,-3.5122,-85.0,-0.031856946,-0.001562375,-0.002572101,0.1,-0.6,0.010006337,0.06113014,0.0,0.032462276,-0.026613649,0.086883796,-0.008736289,-0.024885934,-0.083795316,-0.000648088,-0.027317189,-0.048649876,0.002984374,0.000350048,0.002456668,0.015432464,0.003211564,0.001624696,0.000978354,40.0,0.1,40.4,7.265429723,5.438079309,5.857933154,6.161207322,5.929589143,-0.048423429,-0.000294377,0.001643746,0.030993378,-0.002124384,0.000323554,0.003056448,-0.011861721,-0.016114735,-0.005649718,-0.00280516,-0.001473195,-0.000164307,0.002232431,-0.007658082,0.03,0.18,0.05,0.03,-0.01,0.03,-0.04,0.01,-0.12,0.37,0.92,1.07,0.93,0.93,1.59,0.001113173,0.0,-0.000782751,-0.002824417,-9.13e-06,-0.003025612,0.003241494,-9.37e-05,0.0,-8.42e-05,-4.92e-06,-0.003350087,0.00464038,0.0,-0.005201563,-1.84e-05,0.003418807,-0.003241494,-0.003361348,-0.00068269,-0.005122924,0.000894788,-0.000619209,0.0,0.003944528,-0.009615459,-0.000472338,-0.000502125,-0.025495453,1.80333,3.42,0.4680844659171295,0.0423,0.028146130720926168,-0.0041,0.0010696993439999998,-0.012976000000000001
1959-09-01,0.0013674,0.000721358,0.0,0.010018451,0.014619065,-0.013156998,-0.001209136,-0.00470898,-0.003538042,-0.003537435,-0.030419632,0.005757822,-0.007744903,-0.00126227,-0.003997962,0.001316816,-0.002428524,0.020538554,-0.006968156,-0.4187,-33.0,-0.031356176,0.001649912,-0.001141852,0.3,0.0,-0.003116238,0.135887106,0.006726483,0.098209702,-0.077625162,-0.047045692,0.001723428,0.000157476,-0.021978907,-0.011082252,0.003414766,0.005311047,0.000783883,0.002592373,-0.001182087,-0.006530666,-0.000838391,0.002432105,0.007064585,40.0,-0.1,40.4,7.339537695,5.488937726,5.891644212,6.327936784,5.929589143,0.026886714,0.01500743,-0.004279372,-0.010331126,-0.007773131,-0.003045167,-0.001379175,0.001970444,0.005361943,0.005681818,-0.006715014,-0.000609527,-0.000844134,0.001138698,-0.040501734,0.26,0.66,0.83,0.58,0.33,0.25,0.09,0.09,0.28,0.94,1.24,1.14,0.92,0.76,1.42,0.002476996,0.00071978,-0.002066558,-0.003042545,0.015074059,0.021016899,0.0,0.016218079,0.0,0.02453089,-4.89e-06,0.003338901,-2.14e-05,0.005988042,0.005201563,-1.83e-05,-0.003418807,0.003231021,0.003350087,0.001229135,0.00635056,0.000722251,-8.68e-06,0.0,-0.003991771,0.014434745,-0.013087624,-0.006685174,0.016332905,1.81,3.43,0.4923378926038501,0.0429,0.030528391277140285,-0.0057,0.0017098447549999997,-0.046282
1959-10-01,0.001016942,0.001280062,0.001152148,-0.006835069,0.001599215,0.007288018,-0.007290193,-0.002366953,-0.004732645,-0.004740233,0.02290232,-0.012709216,-0.007805355,-0.010176682,-0.016181011,-0.018833549,-0.008539412,0.002539666,-0.005847094,-0.8952,-52.0,-0.027978862,0.004018467,0.002174568,0.2,-0.8,0.088362939,0.013245227,-0.013498518,-0.029380644,0.002239643,0.131090444,-0.001311033,-0.006688284,0.004739708,-0.011537956,-0.006313318,-0.007920385,-0.00408292,0.00165676,0.000272913,0.001551591,0.001803493,0.00283,0.003150754,39.6,0.0,40.1,7.211556733,5.537334267,5.720311777,6.09356977,5.866468057,0.01872593,0.012946697,0.003183842,0.010331126,0.002810292,-0.001685943,-0.004148974,0.0,0.0,0.0,-0.000558851,0.001408164,0.000535972,0.001188934,-0.002781188,0.22,0.01,-0.17,-0.2,-0.18,-0.15,0.05,0.1,0.07,0.55,0.82,0.74,0.55,0.59,1.3,0.003162551,0.000360112,0.000926916,-0.00410635,-0.021070956,-0.026968976,0.0,-0.012987059,0.0,-0.006237017,-0.002209946,-1.11e-05,-0.004618946,-0.005988042,-0.002600782,-1.81e-05,0.003407158,-0.003231021,-0.003350087,-0.000252457,-0.002399013,-0.000229587,0.000422086,0.0,0.003898399,-0.009638573,-0.001601367,-0.003006789,-0.003397303,1.81667,3.41667,0.48097742035261365,0.0421,0.031020180544657373,0.015,0.00061818331,0.009574
1959-11-01,-0.003412973,0.007594847,0.006715714,-0.00044618,-0.036721666,-0.026703931,0.006075107,-0.01070659,-0.016745086,-0.02161044,-0.131559423,0.013854799,-0.015807332,0.038873128,0.064460355,0.001689493,0.007325307,0.006316439,0.037957608,0.3514,64.0,0.006760339,-0.00419355,-0.005886869,0.1,0.2,-0.002861232,-0.069711838,0.106266108,0.146916186,0.064957896,0.11608568,0.005159276,0.009623296,0.045326781,0.002979641,0.009324383,0.013427564,0.003612664,0.002697257,0.001817521,0.002077628,0.001709402,0.002419356,0.002296212,39.6,-0.3,39.9,7.255591274,5.505331536,5.786897381,6.214608098,5.840641657,-0.057805863,-0.002047126,-0.000987004,0.0,0.002840404,0.002695873,0.002076639,0.003937013,0.0,0.005649718,0.003497409,-0.001076632,-0.004770247,-3.02e-05,0.00685717,0.02,0.1,0.01,0.01,0.03,0.0,-0.01,-0.02,0.15,0.54,0.81,0.75,0.53,0.56,1.26,0.000345658,0.0,-0.001283651,0.002739439,0.005996897,0.008959598,0.003241494,-4.24e-05,0.0,0.01178792,0.0,-0.00332779,0.004597709,0.0,0.0,-0.004246291,-0.003407158,0.0,0.0,-0.001782854,0.001487878,-0.004069082,-0.000784113,0.0,-0.003944537,0.004819286,-0.012239614,-0.00456744,0.004213935,1.82333,3.40333,0.47179829485117875,0.0432,0.02972238038840528,-0.0119,0.000499692726,0.015885999999999997
1959-12-01,0.002042206,0.010194659,0.011372853,-0.001116321,0.049659165,-0.004643796,0.059983119,0.029466951,0.023837815,0.032241495,0.120173827,0.003433913,0.01468085,0.1016652,0.168423188,0.024523158,0.065905766,0.003773581,-0.013635592,5.0631,-72.0,0.018993009,0.006704163,0.012489479,-0.5,0.0,-0.051745817,-0.07136676,-0.065217638,-0.108666304,-0.021187233,-0.255150982,0.010017893,0.016453801,0.012314534,0.010850016,0.017685817,0.02948698,0.000940292,0.006438131,0.004890871,0.004405376,0.004387403,0.00321673,0.010088964,40.0,0.2,40.3,7.378383713,5.545177444,5.978885765,6.383506635,5.880532986,0.088794613,-0.008850708,0.010803837,-0.030993378,-0.002855613,0.000331774,0.000296311,0.007781871,0.021277398,0.011235955,0.007837661,0.007658209,0.014089463,0.001417224,0.033597785,-0.01,0.34,0.31,0.33,0.26,0.16,0.02,0.02,0.5,0.86,1.15,1.02,0.7,0.59,1.29,-0.00376257,0.0,-0.001535413,0.000946522,0.003025721,0.003016594,-0.003241494,-4.3e-05,0.0,-0.026782315,0.0,0.0,-0.004597709,0.0,0.0,0.004228336,0.003395589,0.003220615,0.003338901,0.000551145,-0.00033286,0.001839181,-0.000435146,0.013730193,-0.007797281,0.01913934,-0.005539292,0.005955714,0.0083641,1.83,3.39,0.45778379651436646,0.0447,0.022856304098949398,-0.0159,0.000307543518,0.026227
